tweet_text,username,tweet_link,video_url,timestamp,likes,reposts,keyword,context,category
Just saw an incredible demo of AI generated videos -- the future is here!,TechVlogger,https://x.com/DeepMindFan/status/284932364153081906,https://video.twimg.com/ext_tw_video/9889685402/pu/vid/1280x720/demo_0.mp4,2026-05-02 13:05:25,14381,3066,AI generated videos,Ai Generated Videos,ai
Thread: Why AI generated videos will change everything in the next 5 years.,GameDevML,https://x.com/AutoDriveEng/status/761771944527673700,https://video.twimg.com/ext_tw_video/2970801151/pu/vid/1280x720/demo_1.mp4,2026-05-09 15:05:25,15355,1374,AI generated videos,Ai Generated Videos,ai
Our team just published results on AI generated videos. Link in bio!,DLPaperReview,https://x.com/NeuralNetNinja/status/126604281987406627,https://video.twimg.com/ext_tw_video/6257423606/pu/vid/1280x720/demo_2.mp4,2026-05-06 14:05:25,5984,4998,AI generated videos,Ai Generated Videos,ai
Hot take: AI generated videos is overhyped... but the tech underneath is legit.,EmbeddedSysGuy,https://x.com/SiliconValleyAI/status/812440660973461272,https://video.twimg.com/ext_tw_video/5082952340/pu/vid/1280x720/demo_3.mp4,2026-04-30 19:05:25,9607,6166,AI generated videos,Ai Generated Videos,ai
Breaking: major breakthrough in AI generated videos announced today at the conference.,AutoDriveEng,https://x.com/MLEngineer_Pro/status/725938486662255280,https://video.twimg.com/ext_tw_video/1223066517/pu/vid/1280x720/demo_4.mp4,2026-05-20 21:05:25,1643,6695,AI generated videos,Ai Generated Videos,ai
I've been working on AI generated videos for 3 years and this is the best demo yet.,AIResearchLab,https://x.com/DeepMindFan/status/574838458935102973,https://video.twimg.com/ext_tw_video/3783321629/pu/vid/1280x720/demo_5.mp4,2026-04-27 11:05:25,21991,864,AI generated videos,Ai Generated Videos,ai
New open-source toolkit for AI generated videos just dropped -- check it out!,ChipDesigner01,https://x.com/SemiconWatch/status/725788335068907476,https://video.twimg.com/ext_tw_video/4387219517/pu/vid/1280x720/demo_6.mp4,2026-04-29 17:05:25,18028,2388,AI generated videos,Ai Generated Videos,ai
Really impressed by the latest advances in AI generated videos. Here's my analysis:,QuantumDev,https://x.com/OpenSourceDev/status/290485723674161615,https://video.twimg.com/ext_tw_video/8651020760/pu/vid/1280x720/demo_7.mp4,2026-05-03 19:05:25,22534,4964,AI generated videos,Ai Generated Videos,ai
Unpopular opinion: AI generated videos needs more regulation before mass adoption.,NeuralNetNinja,https://x.com/NeuralNetNinja/status/142343741542444370,https://video.twimg.com/ext_tw_video/9991006414/pu/vid/1280x720/demo_8.mp4,2026-05-11 08:05:25,7092,5049,AI generated videos,Ai Generated Videos,ai
Live from the expo: AI generated videos demo blew everyone's mind!,RoboticsToday,https://x.com/SemiconWatch/status/768763068423431863,https://video.twimg.com/ext_tw_video/6163371891/pu/vid/1280x720/demo_9.mp4,2026-05-08 02:05:25,11962,5797,AI generated videos,Ai Generated Videos,ai
My students asked about AI generated videos today -- here's what I told them.,AutoDriveEng,https://x.com/RoboStartup/status/362594860665731710,https://video.twimg.com/ext_tw_video/9545548444/pu/vid/1280x720/demo_10.mp4,2026-04-23 10:05:25,4723,2814,AI generated videos,Ai Generated Videos,ai
Comparing the top 5 tools for AI generated videos -- full review coming soon!,QuantumDev,https://x.com/DLPaperReview/status/879018440110559472,https://video.twimg.com/ext_tw_video/3947178187/pu/vid/1280x720/demo_11.mp4,2026-05-01 21:05:25,6225,3151,AI generated videos,Ai Generated Videos,ai
"If you're not paying attention to AI generated videos, you're falling behind.",TechVlogger,https://x.com/VisionAI_Lab/status/303807919268745210,https://video.twimg.com/ext_tw_video/7289298696/pu/vid/1280x720/demo_12.mp4,2026-05-10 13:05:25,4953,3461,AI generated videos,Ai Generated Videos,ai
Amazing progress in AI generated videos! Benchmarks are up 40% from last year.,AutoMLRunner,https://x.com/TechInnovator42/status/701370325254677933,https://video.twimg.com/ext_tw_video/8238244337/pu/vid/1280x720/demo_13.mp4,2026-05-15 15:05:25,17384,6953,AI generated videos,Ai Generated Videos,ai
The intersection of AI generated videos and sustainability is underexplored.,NeuralNetNinja,https://x.com/FutureOfTech/status/370035340409999906,https://video.twimg.com/ext_tw_video/4681328315/pu/vid/1280x720/demo_14.mp4,2026-04-29 09:05:25,20077,3023,AI generated videos,Ai Generated Videos,ai
Watching AI generated videos evolve in real-time is a privilege. What a time to be alive!,OpenSourceDev,https://x.com/TechVlogger/status/466196453006889794,https://video.twimg.com/ext_tw_video/9636452801/pu/vid/1280x720/demo_15.mp4,2026-05-06 05:05:25,3448,6740,AI generated videos,Ai Generated Videos,ai
