tweet_text,username,tweet_link,video_url,timestamp,likes,reposts,keyword,context
Just saw an incredible demo of AI generated videos -- the future is here!,AutoMLRunner,https://x.com/FutureOfTech/status/919170156984942061,https://video.twimg.com/ext_tw_video/4462560867/pu/vid/1280x720/demo_0.mp4,2026-05-21 07:03:14,16839,7843,AI generated videos,AI & Generative Media
Thread: Why AI generated videos will change everything in the next 5 years.,RoboticsToday,https://x.com/GameDevML/status/291437739584091382,https://video.twimg.com/ext_tw_video/5001768560/pu/vid/1280x720/demo_1.mp4,2026-05-12 08:03:14,20374,4954,AI generated videos,AI & Generative Media
Our team just published results on AI generated videos. Link in bio!,CricketAnalytics,https://x.com/QuantumDev/status/473255735803076128,https://video.twimg.com/ext_tw_video/1331907420/pu/vid/1280x720/demo_2.mp4,2026-05-03 17:03:14,23503,622,AI generated videos,AI & Generative Media
Hot take: AI generated videos is overhyped... but the tech underneath is legit.,DataScienceGuru,https://x.com/CricketAnalytics/status/867019454744858815,https://video.twimg.com/ext_tw_video/4538584829/pu/vid/1280x720/demo_3.mp4,2026-04-24 09:03:14,1857,4017,AI generated videos,AI & Generative Media
Breaking: major breakthrough in AI generated videos announced today at the conference.,OpenSourceDev,https://x.com/SportsAI_Hub/status/850730430209390886,https://video.twimg.com/ext_tw_video/3703312379/pu/vid/1280x720/demo_4.mp4,2026-05-19 05:03:14,3436,7190,AI generated videos,AI & Generative Media
I've been working on AI generated videos for 3 years and this is the best demo yet.,TechVlogger,https://x.com/SiliconValleyAI/status/382109256599122559,https://video.twimg.com/ext_tw_video/2588552607/pu/vid/1280x720/demo_5.mp4,2026-05-19 14:03:14,3048,7699,AI generated videos,AI & Generative Media
New open-source toolkit for AI generated videos just dropped -- check it out!,MLEngineer_Pro,https://x.com/CricketAnalytics/status/520050916645353736,https://video.twimg.com/ext_tw_video/2092400648/pu/vid/1280x720/demo_6.mp4,2026-05-13 04:03:14,23500,7175,AI generated videos,AI & Generative Media
Really impressed by the latest advances in AI generated videos. Here's my analysis:,DataScienceGuru,https://x.com/RoboStartup/status/938567600000073540,https://video.twimg.com/ext_tw_video/7256379791/pu/vid/1280x720/demo_7.mp4,2026-05-11 14:03:14,8789,2823,AI generated videos,AI & Generative Media
Unpopular opinion: AI generated videos needs more regulation before mass adoption.,SemiconWatch,https://x.com/TechInnovator42/status/782777427607319991,https://video.twimg.com/ext_tw_video/8726084694/pu/vid/1280x720/demo_8.mp4,2026-05-11 08:03:14,13649,5812,AI generated videos,AI & Generative Media
Live from the expo: AI generated videos demo blew everyone's mind!,VisionAI_Lab,https://x.com/TechVlogger/status/748574630133722526,https://video.twimg.com/ext_tw_video/1489776068/pu/vid/1280x720/demo_9.mp4,2026-05-21 05:03:14,1125,7663,AI generated videos,AI & Generative Media
My students asked about AI generated videos today -- here's what I told them.,AutoMLRunner,https://x.com/TechInnovator42/status/336802466800241826,https://video.twimg.com/ext_tw_video/3869545530/pu/vid/1280x720/demo_10.mp4,2026-05-21 17:03:14,5384,4790,AI generated videos,AI & Generative Media
Comparing the top 5 tools for AI generated videos -- full review coming soon!,ChipDesigner01,https://x.com/QuantumDev/status/790525289651119722,https://video.twimg.com/ext_tw_video/5825229507/pu/vid/1280x720/demo_11.mp4,2026-05-10 18:03:14,15016,1328,AI generated videos,AI & Generative Media
"If you're not paying attention to AI generated videos, you're falling behind.",AutoDriveEng,https://x.com/OpenSourceDev/status/752998420992899584,https://video.twimg.com/ext_tw_video/1411243216/pu/vid/1280x720/demo_12.mp4,2026-05-20 02:03:14,13278,793,AI generated videos,AI & Generative Media
Amazing progress in AI generated videos! Benchmarks are up 40% from last year.,DLPaperReview,https://x.com/VisionAI_Lab/status/127957503572473897,https://video.twimg.com/ext_tw_video/3185864348/pu/vid/1280x720/demo_13.mp4,2026-05-15 12:03:14,20911,1675,AI generated videos,AI & Generative Media
The intersection of AI generated videos and sustainability is underexplored.,TechVlogger,https://x.com/CricketAnalytics/status/301668492372042679,https://video.twimg.com/ext_tw_video/4165195669/pu/vid/1280x720/demo_14.mp4,2026-05-02 04:03:14,23959,7663,AI generated videos,AI & Generative Media
Watching AI generated videos evolve in real-time is a privilege. What a time to be alive!,TechInnovator42,https://x.com/AutoMLRunner/status/897540565280881719,https://video.twimg.com/ext_tw_video/4908928437/pu/vid/1280x720/demo_15.mp4,2026-05-16 14:03:14,12441,2291,AI generated videos,AI & Generative Media
Quick tutorial: getting started with AI generated videos in 10 minutes.,QuantumDev,https://x.com/FutureOfTech/status/584198020382814761,https://video.twimg.com/ext_tw_video/7522727076/pu/vid/1280x720/demo_16.mp4,2026-05-07 12:03:14,16116,1966,AI generated videos,AI & Generative Media
Industry report: AI generated videos market projected to reach $50B by 2030.,AutoDriveEng,https://x.com/RoboticsToday/status/419167816695569259,https://video.twimg.com/ext_tw_video/2334929774/pu/vid/1280x720/demo_17.mp4,2026-05-12 23:03:14,14172,1856,AI generated videos,AI & Generative Media
Debate: Is AI generated videos ready for production use? My thoughts below.,TechVlogger,https://x.com/GameDevML/status/705478837892248945,https://video.twimg.com/ext_tw_video/7817247855/pu/vid/1280x720/demo_18.mp4,2026-05-07 06:03:14,18470,5641,AI generated videos,AI & Generative Media
Shout-out to the open-source community pushing AI generated videos forward!,CricketAnalytics,https://x.com/VisionAI_Lab/status/395226977387334985,https://video.twimg.com/ext_tw_video/7152785309/pu/vid/1280x720/demo_19.mp4,2026-04-21 20:03:14,1580,2693,AI generated videos,AI & Generative Media
Just saw an incredible demo of Robotics demos -- the future is here!,MLEngineer_Pro,https://x.com/MLEngineer_Pro/status/550320026093105455,https://video.twimg.com/ext_tw_video/8767603383/pu/vid/1280x720/demo_0.mp4,2026-04-24 08:03:43,24376,7708,Robotics demos,Robotics & Automation
Thread: Why Robotics demos will change everything in the next 5 years.,MLEngineer_Pro,https://x.com/MLEngineer_Pro/status/906196664010579607,https://video.twimg.com/ext_tw_video/7351430518/pu/vid/1280x720/demo_1.mp4,2026-05-21 13:03:43,13680,432,Robotics demos,Robotics & Automation
Our team just published results on Robotics demos. Link in bio!,SiliconValleyAI,https://x.com/GameDevML/status/712865474780939257,https://video.twimg.com/ext_tw_video/8202388928/pu/vid/1280x720/demo_2.mp4,2026-05-17 01:03:43,16629,2357,Robotics demos,Robotics & Automation
Hot take: Robotics demos is overhyped... but the tech underneath is legit.,OpenSourceDev,https://x.com/SemiconWatch/status/239041980335894802,https://video.twimg.com/ext_tw_video/7848007221/pu/vid/1280x720/demo_3.mp4,2026-05-09 08:03:43,6865,3722,Robotics demos,Robotics & Automation
Breaking: major breakthrough in Robotics demos announced today at the conference.,OpenSourceDev,https://x.com/NeuralNetNinja/status/129187497113254078,https://video.twimg.com/ext_tw_video/5026426279/pu/vid/1280x720/demo_4.mp4,2026-04-29 15:03:43,1740,1706,Robotics demos,Robotics & Automation
I've been working on Robotics demos for 3 years and this is the best demo yet.,CodeCraftsman,https://x.com/NeuralNetNinja/status/320327381312203641,https://video.twimg.com/ext_tw_video/9239795849/pu/vid/1280x720/demo_5.mp4,2026-05-06 02:03:43,10602,7387,Robotics demos,Robotics & Automation
New open-source toolkit for Robotics demos just dropped -- check it out!,SemiconWatch,https://x.com/DataScienceGuru/status/975114783990110766,https://video.twimg.com/ext_tw_video/3674781574/pu/vid/1280x720/demo_6.mp4,2026-05-18 08:03:43,13747,802,Robotics demos,Robotics & Automation
Really impressed by the latest advances in Robotics demos. Here's my analysis:,CricketAnalytics,https://x.com/EmbeddedSysGuy/status/173468664154235041,https://video.twimg.com/ext_tw_video/7399780509/pu/vid/1280x720/demo_7.mp4,2026-04-21 14:03:43,8208,139,Robotics demos,Robotics & Automation
Unpopular opinion: Robotics demos needs more regulation before mass adoption.,NeuralNetNinja,https://x.com/TechInnovator42/status/702801137125142990,https://video.twimg.com/ext_tw_video/8081029099/pu/vid/1280x720/demo_8.mp4,2026-04-29 18:03:43,3075,4989,Robotics demos,Robotics & Automation
Live from the expo: Robotics demos demo blew everyone's mind!,SportsAI_Hub,https://x.com/TechVlogger/status/297124376070821953,https://video.twimg.com/ext_tw_video/1320291481/pu/vid/1280x720/demo_9.mp4,2026-05-11 19:03:43,13830,4037,Robotics demos,Robotics & Automation
My students asked about Robotics demos today -- here's what I told them.,SiliconValleyAI,https://x.com/CodeCraftsman/status/319230710326035312,https://video.twimg.com/ext_tw_video/9548612291/pu/vid/1280x720/demo_10.mp4,2026-04-23 03:03:43,17055,3119,Robotics demos,Robotics & Automation
Comparing the top 5 tools for Robotics demos -- full review coming soon!,VisionAI_Lab,https://x.com/NeuralNetNinja/status/815781716698277973,https://video.twimg.com/ext_tw_video/7878830185/pu/vid/1280x720/demo_11.mp4,2026-04-30 18:03:43,11469,4,Robotics demos,Robotics & Automation
"If you're not paying attention to Robotics demos, you're falling behind.",DataScienceGuru,https://x.com/DeepMindFan/status/847480950519749468,https://video.twimg.com/ext_tw_video/6997088456/pu/vid/1280x720/demo_12.mp4,2026-05-19 17:03:43,5034,3720,Robotics demos,Robotics & Automation
Amazing progress in Robotics demos! Benchmarks are up 40% from last year.,VisionAI_Lab,https://x.com/QuantumDev/status/985083007283293460,https://video.twimg.com/ext_tw_video/3386195036/pu/vid/1280x720/demo_13.mp4,2026-05-21 12:03:43,19498,7222,Robotics demos,Robotics & Automation
The intersection of Robotics demos and sustainability is underexplored.,DeepMindFan,https://x.com/AutoDriveEng/status/826823708090709281,https://video.twimg.com/ext_tw_video/9627929632/pu/vid/1280x720/demo_14.mp4,2026-05-16 08:03:43,13876,1902,Robotics demos,Robotics & Automation
Watching Robotics demos evolve in real-time is a privilege. What a time to be alive!,TechInnovator42,https://x.com/TechVlogger/status/354290734378296496,https://video.twimg.com/ext_tw_video/5745570660/pu/vid/1280x720/demo_15.mp4,2026-05-17 05:03:43,17512,5043,Robotics demos,Robotics & Automation
Quick tutorial: getting started with Robotics demos in 10 minutes.,AutoDriveEng,https://x.com/EmbeddedSysGuy/status/808553689033329703,https://video.twimg.com/ext_tw_video/5200867255/pu/vid/1280x720/demo_16.mp4,2026-05-17 18:03:43,7596,3963,Robotics demos,Robotics & Automation
Industry report: Robotics demos market projected to reach $50B by 2030.,QuantumDev,https://x.com/RoboticsToday/status/658004589667636267,https://video.twimg.com/ext_tw_video/1961236558/pu/vid/1280x720/demo_17.mp4,2026-05-12 10:03:43,2406,2131,Robotics demos,Robotics & Automation
Debate: Is Robotics demos ready for production use? My thoughts below.,RoboticsToday,https://x.com/ChipDesigner01/status/663998328849102730,https://video.twimg.com/ext_tw_video/9385623254/pu/vid/1280x720/demo_18.mp4,2026-05-09 19:03:43,21017,3673,Robotics demos,Robotics & Automation
Shout-out to the open-source community pushing Robotics demos forward!,SemiconWatch,https://x.com/SemiconWatch/status/756575075756089106,https://video.twimg.com/ext_tw_video/6370091816/pu/vid/1280x720/demo_19.mp4,2026-05-04 17:03:43,560,6569,Robotics demos,Robotics & Automation
